,Gene A,Gene B,Correlation
1720,NELFA,KMT2A,0.9234913281435039
4220,SSRP1,EP400,0.923469487469941
6554,MED12,CDK12,0.9232848510230253
8338,SETD1B,CREBBP,0.923204396669197
15267,POLR2H,MED23,0.923092011212055
12947,TAF5L,MED4,0.9230376967076532
4288,SSRP1,MED13,0.922927434827779
4853,BRM,SMARCC2,0.9228994036663931
17975,KMT2D,INTS4,0.9228535674977544
18327,BAF250B,MED23,0.9228405438429942
20674,TRRAP,SUPT5H,0.9228159901495414
25891,AFF4,CDK13,0.9226508991903482
13125,CHD1,ARID1A,0.9226110202735358
9874,BPTF,SUPT5H,0.9225429682075318
6936,MED17,MED28,0.9225201597019906
8733,INTS12,BCL7C,0.9224869297505705
3945,ATXN7,ARID1A,0.9224732740448038
8788,INTS12,MED13,0.9224497723231773
6894,MED17,BPTF,0.9223978826519633
27706,SUPT16H,ASH2L,0.922390555934094
2359,SF3B3,GTF2H1,0.9223076944840626
1849,ERCC3,CCNT2,0.9222796667789572
24819,MLLT10,EP300,0.9222008638637635
10541,CREBBP,BAF250B,0.922066079842757
7441,SMARCE1,SMARCC1,0.9219936077558586
2594,SUPT6H,CDK12,0.921883990597629
13453,CDK12,KMT2B,0.9217975198217748
27514,NELFCD,SUPT5H,0.9217679236880596
24095,KMT2B,INTS4,0.9216515788096717
2505,SF3B3,ARID1A,0.9215811087467838
8067,SUPT20H,MED23,0.9215659543798654
22999,UBE2A,GTF2A2,0.9215557301849205
6272,TAF6L,NELFCD,0.9215438566602194
16298,CCNK,NCOA3,0.9215390505690033
13798,INTS5,POLR2B,0.9214820426765084
958,INTS1,CREBBP,0.921393397738827
6603,MED12,MED26,0.9213345598284525
15573,MED30,BCL7C,0.9212788944043345
8064,SUPT20H,KAT6A,0.9211966277067969
17982,KMT2D,EPC1,0.9211827073988942
2538,SUPT6H,KAT5,0.9211503999576391
2392,SF3B3,BAF180,0.9209644885843159
9495,BAF180,MED14,0.92094071096396
2655,SUPT6H,MED14,0.9209295613932318
15827,KAT6B,MED4,0.9208045655806038
7496,SMARCE1,CCNT1,0.9206357722200188
3838,ATXN7,CREBBP,0.9205963295916652
1864,ERCC3,SMARCAD1,0.9205946875035309
8229,ARID4B,BRD9,0.9205515598057717
12132,TRIM28,CHD1,0.9205436431159465
8934,CCNT2,TRRAP,0.9205281752271584
2638,SUPT6H,POLR2B,0.9204530515633152
8082,SUPT20H,EPC1,0.9204348625552703
3847,ATXN7,TRIM28,0.9203383497583665
2572,SUPT6H,BAF180,0.9203342865107106
8900,CCNT2,EP400,0.9203186335521153
9468,BAF180,ELOA,0.9202881536556696
8405,SETD1B,ARID2,0.9202156152994052
8016,SUPT20H,MED28,0.9201863456416501
15797,KAT6B,MLLT10,0.9201559865277704
14515,EP400,INTS2,0.9201419284611544
4254,SSRP1,TRRAP,0.9199661127790983
3188,CTR9,MED6,0.9199237627406904
530,SMARCB1,GTF2F1,0.919856580250159
2592,SUPT6H,CHD1,0.9198532778835906
18333,BAF250B,SUPT16H,0.9198267468483621
27166,VPS72,ASH2L,0.9197989925370007
6914,MED17,CDK12,0.919689490230345
2796,NCOA6,MED28,0.919612633598932
18298,BAF250B,POLR2B,0.919559814021913
7171,INTS8,CDK13,0.9195562525602264
8439,SETD1B,EP300,0.9195527444311835
18328,BAF250B,MED13,0.9195454861497955
4192,SSRP1,BAF180,0.9195424900666866
6956,MED17,CCNT1,0.9194941684781008
9861,BPTF,SUPT7L,0.9194454498667448
4293,SSRP1,SUPT16H,0.9194247656923952
10207,CDC73,UBE2A,0.9194036973589204
