UniprotID,Bgee,GeneID,Gene Names,GTEXGeneCode
Q15393,ENSG00000189091,23450,"['SF3B3', 'KIAA0017', 'SAP130']",ENSG00000189091.12
Q15528,ENSG00000148297,6837,"['MED22', 'SURF5']",ENSG00000148297.15
Q15532,ENSG00000141380,6760,"['SS18', 'SSXT', 'SYT']",ENSG00000141380.13
Q15542,ENSG00000148835,6877,"['TAF5', 'TAF2D']",ENSG00000148835.10
Q15543,ENSG00000197780,6884,"['TAF13', 'TAF2K', 'TAFII18']",ENSG00000197780.9
Q15544,ENSG00000064995,6882,"['TAF11', 'TAF2I', 'PRO2134']",ENSG00000064995.16
Q15545,ENSG00000178913,6879,"['TAF7', 'TAF2F', 'TAFII55']",ENSG00000178913.7
Q15648,ENSG00000125686,5469,"['MED1', 'ARC205', 'CRSP1', 'CRSP200', 'DRIP205', 'DRIP230', 'PBP', 'PPARBP', 'PPARGBP', 'RB18A', 'TRAP220', 'TRIP2']",ENSG00000125686.11
Q15788,ENSG00000084676,8648,"['NCOA1', 'BHLHE74', 'SRC1']",ENSG00000084676.15
Q16514,ENSG00000120656,6883,"['TAF12', 'TAF15', 'TAF2J', 'TAFII20']",ENSG00000120656.11
Q16594,ENSG00000273841,6880,"['TAF9', 'TAF2G', 'TAFII31']",ENSG00000273841.4
Q4LE39,ENSG00000054267,51742,"['ARID4B', 'BRCAA1', 'RBBP1L1', 'RBP1L1', 'SAP180']",ENSG00000054267.21
Q4VC05,ENSG00000110987,605,['BCL7A'],ENSG00000110987.8
Q5VWG9,ENSG00000165632,83860,['TAF3'],ENSG00000165632.7
Q68CP9,ENSG00000189079,196528,"['ARID2', 'BAF200', 'KIAA1557']",ENSG00000189079.15
Q6P1J9,ENSG00000134371,79577,"['CDC73', 'C1orf28', 'HRPT2']",ENSG00000134371.10
Q6P1X5,ENSG00000064313,6873,"['TAF2', 'CIF150', 'TAF2B']",ENSG00000064313.11
Q6P2C8,ENSG00000160563,9442,"['MED27', 'CRSP34', 'CRSP8']",ENSG00000160563.13
Q6P9B9,ENSG00000185085,80789,"['INTS5', 'KIAA1698']",ENSG00000185085.2
Q6PD62,ENSG00000198730,9646,"['CTR9', 'KIAA0155', 'SH2BP1']",ENSG00000198730.7
Q6STE5,ENSG00000082014,6604,"['SMARCD3', 'BAF60C']",ENSG00000082014.16
Q6UXN9,ENSG00000164091,80335,"['WDR82', 'SWD2', 'TMEM113', 'WDR82A', 'UNQ9342/PRO34047']",ENSG00000164091.11
Q71F56,ENSG00000123066,23389,"['MED13L', 'KIAA1025', 'PROSIT240', 'THRAP2', 'TRAP240L']",ENSG00000123066.7
Q71SY5,ENSG00000104973,81857,"['MED25', 'ACID1', 'ARC92', 'PTOV2', 'TCBAP0758']",ENSG00000104973.16
Q75QN2,ENSG00000164941,55656,"['INTS8', 'C8orf52']",ENSG00000164941.13
Q7KZ85,ENSG00000109111,6830,"['SUPT6H', 'KIAA0162', 'SPT6H']",ENSG00000109111.14
Q7Z6Z7,ENSG00000086758,10075,"['HUWE1', 'KIAA0312', 'KIAA1578', 'UREB1', 'HSPC272']",ENSG00000086758.15
Q7Z7C8,ENSG00000137413,129685,"['TAF8', 'TAFII43', 'TBN']",ENSG00000137413.15
Q86TJ2,ENSG00000173011,93624,"['TADA2B', 'ADA2B']",ENSG00000173011.11
Q86U86,ENSG00000163939,55193,"['PBRM1', 'BAF180', 'PB1']",ENSG00000163939.18
