,Gene,Distance from MED12L,MED12L Corr,Ensembl
419,KLF5,2193.2720624674,-0.14658164035425061,ENSG00000102554
839,TCF4,2122.357813847608,0.4628300236972239,ENSG00000196628
589,NR4A2,2044.2781244243652,-0.1595083128289111,ENSG00000153234
1709,ZNF706,2004.637912442045,-0.21366400515288875,ENSG00000120963
306,HMGA1,1990.7928119219234,-0.12861332936967712,ENSG00000137309
172,ETS2,1889.721733483531,-0.1676473214258338,ENSG00000157557
694,REL,1877.0549405917768,-0.1069713058347384,ENSG00000162924
634,PITX1,1871.4538760012226,-0.0683445685312664,ENSG00000069011
1560,NME2,1846.7423371981267,-0.07883951509122665,ENSG00000243678
732,SFPQ,1812.7069454271973,-0.10531750889502295,ENSG00000116560
494,MYC,1804.6755941165713,-0.15071534616325624,ENSG00000136997
1493,PA2G4,1795.1541800079453,-0.32685249524649,ENSG00000170515
19,ARID5B,1774.9669349032954,-0.025957331497076266,ENSG00000150347
776,SOX5,1743.3845760474082,0.9174825385966721,ENSG00000134532
1689,DRAP1,1721.965139019951,-0.2649929307621202,ENSG00000175550
447,MAFB,1691.5277946282758,-0.111572014089012,ENSG00000204103
837,TCF25,1684.1434083830272,-0.2369934824651434,ENSG00000141002
1719,ZNF385D,1666.1514366947558,0.30470489567825887,ENSG00000151789
1598,CAMTA1,1664.5670698412846,0.28756950395856723,ENSG00000171735
245,GATA3,1659.9144164685117,-0.0254934376397494,ENSG00000107485
48,BBX,1649.5278566911204,0.025051397219383917,ENSG00000114439
30,ATF4,1626.5237809512655,-0.3719606068625958,ENSG00000128272
148,EHF,1615.3497175534465,-0.16296835337950696,ENSG00000135373
375,IRF1,1559.6300619057076,-0.2591620572408032,ENSG00000125347
833,TCF12,1545.859003919827,0.28509989497783933,ENSG00000140262
457,MEF2C,1540.395695917124,0.3765573401961127,ENSG00000081189
529,NFIA,1537.9488678106306,0.48583016325319234,ENSG00000162599
537,NFKBIB,1537.8876714506816,-0.040385715362077364,ENSG00000104825
1616,GPBP1,1486.8289175288462,-0.02921942194407452,ENSG00000062194
777,SOX6,1482.6686750585916,0.5258858397753609,ENSG00000110693
149,ELF1,1479.487404474942,-0.11643172810394771,ENSG00000120690
31,ATF5,1477.265023616277,-0.07320724727882633,ENSG00000169136
860,TFDP2,1473.3753934418748,0.08287179023883913,ENSG00000114126
582,NR2E3,1437.964815285826,-0.02746240371729102,ENSG00000278570
584,NR2F2,1414.053966438339,-0.13462698929226294,ENSG00000185551
558,NKX3-1,1407.6065252761512,-0.03524944213034894,ENSG00000167034
806,STAT3,1389.721691562739,-0.2639136238928606,ENSG00000168610
187,FIGLA,1389.097491179075,-0.010658697755105811,ENSG00000183733
448,MAFF,1382.0702261462695,-0.18226114676483718,ENSG00000185022
58,BHLHE40,1372.1895787390313,-0.1545463804334153,ENSG00000134107
382,IRF8,1367.4215187717357,-0.05505263451844461,ENSG00000140968
1139,ZNF331,1352.3886349714712,-0.09250468880478756,ENSG00000130844
162,EPAS1,1350.960961686162,-0.07805119297273899,ENSG00000116016
24,ASCL2,1345.538713675679,-0.04300933258983492,ENSG00000183734
367,ID4,1337.4735773090995,-0.004299167110524319,ENSG00000172201
530,NFIB,1322.1041108778084,0.50714035860354,ENSG00000147862
193,FOSL2,1321.9841905257415,-0.18705015370470837,ENSG00000075426
1025,ZNF124,1321.0410288859314,-0.0014514603496901257,ENSG00000196418
