,EnsemblId,symbol
172,ENSG00000112182,BACH2
173,ENSG00000156127,BATF
174,ENSG00000168062,BATF2
175,ENSG00000123685,BATF3
179,ENSG00000245848,CEBPA
180,ENSG00000172216,CEBPB
181,ENSG00000221869,CEBPD
182,ENSG00000092067,CEBPE
183,ENSG00000153879,CEBPG
184,ENSG00000118260,CREB1
185,ENSG00000107175,CREB3
186,ENSG00000157613,CREB3L1
187,ENSG00000182158,CREB3L2
188,ENSG00000060566,CREB3L3
189,ENSG00000143578,CREB3L4
190,ENSG00000146592,CREB5
191,ENSG00000111269,CREBL2
193,ENSG00000137504,CREBZF
194,ENSG00000095794,CREM
195,ENSG00000105516,DBP
196,ENSG00000175197,DDIT3
197,ENSG00000170345,FOS
198,ENSG00000125740,FOSB
199,ENSG00000175592,FOSL1
200,ENSG00000075426,FOSL2
202,ENSG00000108924,HLF
205,ENSG00000140044,JDP2
206,ENSG00000177606,JUN
207,ENSG00000171223,JUNB
208,ENSG00000130522,JUND
211,ENSG00000178573,MAF
212,ENSG00000182759,MAFA
213,ENSG00000204103,MAFB
214,ENSG00000185022,MAFF
215,ENSG00000197063,MAFG
216,ENSG00000198517,MAFK
219,ENSG00000123405,NFE2
220,ENSG00000082641,NFE2L1
221,ENSG00000116044,NFE2L2
222,ENSG00000050344,NFE2L3
223,ENSG00000165030,NFIL3
225,ENSG00000129535,NRL
230,ENSG00000167074,TEF
232,ENSG00000100219,XBP1
233,ENSG00000267179,AC008770.3
234,ENSG00000233757,AC092835.1
235,ENSG00000264668,AC138696.1
236,ENSG00000139154,AEBP2
237,ENSG00000105127,AKAP8
238,ENSG00000011243,AKAP8L
239,ENSG00000163516,ANKZF1
240,ENSG00000166454,ATMIN
241,ENSG00000119866,BCL11A
242,ENSG00000127152,BCL11B
243,ENSG00000113916,BCL6
244,ENSG00000161940,BCL6B
245,ENSG00000169594,BNC1
246,ENSG00000173068,BNC2
247,ENSG00000130940,CASZ1
248,ENSG00000159588,CCDC17
249,ENSG00000198824,CHAMP1
250,ENSG00000147183,CPXCR1
251,ENSG00000102974,CTCF
252,ENSG00000124092,CTCFL
