,0
1192,EVX2
1193,GBX1
1194,GBX2
1195,GSC
1196,GSC2
1197,GSX1
1198,GSX2
1199,HDX
1200,HESX1
1201,HHEX
1202,HLX
1203,HMBOX1
1204,HMX1
1205,HMX2
1206,HMX3
1207,HNF1A
1208,HNF1B
1209,HOMEZ
1210,HOXA1
1211,HOXA10
1212,HOXA11
1213,HOXA13
1214,HOXA2
1215,HOXA3
1216,HOXA4
1217,HOXA5
1218,HOXA6
1219,HOXA7
1220,HOXA9
1221,HOXB1
1222,HOXB13
1223,HOXB2
1224,HOXB3
1225,HOXB4
1226,HOXB5
1227,HOXB6
1228,HOXB7
1229,HOXB8
1230,HOXB9
1231,HOXC10
1232,HOXC11
1233,HOXC12
1234,HOXC13
1235,HOXC4
1236,HOXC5
1237,HOXC6
1238,HOXC8
1239,HOXC9
1240,HOXD1
1241,HOXD10
1242,HOXD11
1243,HOXD12
1244,HOXD13
1245,HOXD3
1246,HOXD4
1247,HOXD8
1248,HOXD9
1249,IRX1
1250,IRX2
1251,IRX3
1252,IRX4
1253,IRX5
1254,IRX6
1255,ISL1
1256,ISL2
1257,ISX
1258,LBX1
1259,LBX2
1260,LEUTX
1261,LHX1
1262,LHX2
1263,LHX3
1264,LHX4
1265,LHX5
1266,LHX6
1267,LHX8
1268,LHX9
1269,LMX1A
1270,LMX1B
1271,MEIS1
1272,MEIS2
1273,MEIS3
1274,MEOX1
1275,MEOX2
1276,MIXL1
1277,MKX
1278,MNX1
1279,MSX1
1280,MSX2
1281,NANOG
1282,NANOGNB
1283,NANOGP8
1284,NKX1-1
1285,NKX1-2
1286,NKX2-1
1287,NKX2-2
1288,NKX2-3
1289,NKX2-4
1290,NKX2-5
1291,NKX2-6
1292,NKX2-8
1293,NKX3-1
1294,NKX3-2
1295,NKX6-1
1296,NKX6-2
1297,NKX6-3
1298,NOBOX
1299,NOTO
1300,OTP
1301,OTX1
1302,OTX2
1303,PBX1
1304,PBX2
1305,PBX3
1306,PBX4
1307,PDX1
1308,PHOX2A
1309,PHOX2B
1310,PITX1
1311,PITX2
1312,PITX3
1313,PKNOX1
1314,PKNOX2
1315,PROP1
1316,PRRX1
1317,PRRX2
1318,RAX
1319,RAX2
1320,RHOXF1
1321,RHOXF2
1322,RHOXF2B
1323,SEBOX
1324,SHOX
1325,SHOX2
1326,SIX1
1327,SIX2
1328,SIX3
1329,SIX4
1330,SIX5
1331,SIX6
1332,TGIF1
1333,TGIF2
1334,TGIF2LX
1335,TGIF2LY
1336,TLX1
1337,TLX2
1338,TLX3
1339,TPRX1
1340,UNCX
1341,VAX1
1342,VAX2
1343,VENTX
1344,VSX1
1345,VSX2
1346,ZFHX2
1347,ZHX1
1348,ZHX2
1349,ZHX3
1350,PAX2
1351,PAX3
1352,PAX4
1353,PAX6
1354,PAX7
1355,POU1F1
1356,POU2F1
1357,POU2F2
1358,POU2F3
1359,POU3F1
1360,POU3F2
1361,POU3F3
1362,POU3F4
1363,POU4F1
1364,POU4F2
1365,POU4F3
1366,POU5F1
1367,POU5F1B
1368,POU5F2
1369,POU6F1
1370,POU6F2
1371,HSF1
1372,HSF2
1373,HSF4
1374,HSF5
1375,HSFX1
1376,HSFX2
1377,HSFY1
1378,HSFY2
1379,IRF1
1380,IRF2
1381,IRF3
1382,IRF4
1383,IRF5
1384,IRF6
1385,IRF7
1386,IRF8
1387,IRF9
1388,MSANTD1
1389,MSANTD3
1390,NAIF1
1391,BORCS8-MEF2B
