Variant_ID,BRD7,P300,P300 KIX,P300 NCBD,P300 TAZ1,P300 TAZ2,TFIID TAF12,PCAF TAF6L
INO80D;60,24489.17,2433.27,100569.66,59530.25,39519.04,5330.38,73676.16,10811.82
IRF2;18,24489.17,18465.69,100569.66,88602.08,53489.15,30739.63,73676.16,10811.82
JADE1;13,18205.71,,65377.15,60029.63,20483.92,1836.22,73676.16,10811.82
JADE2;11,14709.39,,100569.66,,,,,10811.82
JADE2;51,19921.54,18465.69,98426.30,69246.19,46689.86,17229.06,73676.16,10811.82
JAK2;80,24489.17,9277.41,100569.66,88602.08,53489.15,25578.35,73676.16,10811.82
JMJD4;26,24489.17,18465.69,100569.66,80580.48,33461.20,21389.10,73676.16,10811.82
JRKL;42,24489.17,12098.46,100569.66,78769.04,50234.71,,73676.16,10811.82
KAT6B;197,24489.17,9985.67,100569.66,88602.08,53489.15,30818.49,73676.16,10687.98
KDM5B;130,24489.17,7737.96,,46924.64,28300.29,7237.95,73676.16,10811.82
KLF15;10,16086.84,1149.33,24148.24,79484.74,43036.84,,73676.16,10811.82
KLF15;7,24489.17,809.93,1172.55,62016.25,53489.15,14681.82,73676.16,10811.82
KLF7;1,24489.17,2934.32,100569.66,48408.53,28950.60,4318.08,73676.16,10811.82
KMT2A;282,24489.17,757.40,5502.43,73223.54,53489.15,14754.66,73676.16,10811.82
KMT2A;284,24489.17,394.73,3924.72,67469.50,51704.37,31363.26,73676.16,10811.82
KMT2C;17,24489.17,18465.69,100569.66,88602.08,53489.15,25710.90,73676.16,10811.82
KMT2D;298,24489.17,2888.16,,70425.56,35799.57,,73676.16,10811.82
LAS1L;64,24489.17,16502.04,87457.89,69119.23,41416.35,16823.62,73676.16,10811.82
LEUTX;9,24489.17,9535.08,,77680.56,36265.90,13245.16,73676.16,10811.82
LMX1A;30,24489.17,9852.43,100569.66,82218.93,33731.17,13699.30,73676.16,10811.82
MAST2;72,23891.76,18465.69,71069.06,77159.85,40772.27,13876.06,73676.16,10811.82
MGA;282,24489.17,8859.09,100569.66,66310.14,53489.15,32452.04,73676.16,10811.82
MITF;22,5402.16,9088.06,,,53489.15,,73676.16,10811.82
