Cofactor interactions with TF
EYA2
NKAP
NIF3L1
MED12L
MAML1
CHCHD2
ARHGAP35
SPAG8
NRBF2
SRCAP
NPAT
ELP2
SIRT5
HDAC10
HSPA1B
NOTCH3
CDKN1B
MNDA
NOD2
CCAR1
RNF168
TOB1
KAT8
PRMT8
LBH
JAK2
TFB2M
ATRX
KDM5C
TDP2
TAF12
KDM3B
PLK3
EGLN2
PCGF6
JMJD6
THRSP
PHF8
LIMD1
TAF9B
SUDS3
INO80D
ZCCHC12
PPHLN1
BCAS3
KAT6B
UTY
NDUFA13
COPRS
CBX2
UXT
EYA3
AJUBA
TAF7
NAB1
CSRP3
TLE4
SAP30BP
SMARCAD1
PHF10
LPXN
SNX6
ASCC2
TRAPPC2
BTAF1
KMT2E
SCAI
KMT2B
DYRK1B
DCAF6
DAPK3
ASXL1
BCL9
CAMK2D
CHD6
SENP1
POLR3C
CIR1
CNOT6
CNOT6L
CDYL2
RLIM
GTF2H2C
PHF21A
CNOT8
CENPF
CITED2
PDCD4
EYA4
ZMYND11
CGGBP1
TRIM22
SUV39H2
ENY2
HSBP1
GTF2H4
ANP32E
ACTR8
SFR1
PCGF3
FGF2
CEP290
ARGLU1
BRF1
POLR3F
DEPDC1
CHMP1A
PELI1
PDLIM1
PTTG1
FHIT
DOT1L
DACT1
PBXIP1
LZTS1
AURKAIP1
WAC
YY1AP1
FAM208A
RPRD1B
INO80C
EAPP
PQBP1
TCEAL2
MYOCD
MTPN
ELL2
CDK5RAP3
TNP1
BAZ1A
UFL1
CIITA
WTIP
HELZ2
SAV1
SYK
PLRG1
ABT1
TADA1
PRMT2
PRAME
SNAPC5
ATF7IP2
DUSP26
STK36
LANCL2
PARP9
TNNI2
SMYD2
SUPT4H1
TAB3
CECR2
ELL3
CTDSP1
NELFA
RNF25
NCOA7
WBP2
FAM129B
NCK1
CBX6
NAA15
CDK13
ZNF593
MPHOSPH8
TAF4B
KDM4C
CITED1
RAP2C
MBTD1
SLTM
PYCARD
SIVA1
TAF1C
LEO1
HYAL2
SFRP4
SETSIP
PEX2
JADE1
GTF2A1L
KDM4D
GTF2E1
FHOD1
NELFE
SKAP1
NRG1
TIRAP
CENPU
ERN1
MLLT3
TSPYL2
SERTAD3
EYA1
TBPL1
SCAND1
MSL3
WNT4
NLRP3
CCNT2
WDTC1
HDAC8
SLC30A9
NUDT5
ELOF1
EID2
LPIN1
PAWR
PARP10
EID1
PAGR1
MAGEA2
SRFBP1
TOPORS
BRIP1
MALT1
GTF2H5
SMYD1
ACTL6B
TRIM16
ASF1B
ATXN7L3
HTATSF1
ACTR6
EFCAB6
HCLS1
TIMELESS
PHF19
DRAP1
KDM4B
NOTCH4
SSBP2
SSU72
DTX1
SSX3
SSX4
BRWD1
KMT5B
PADI4
BCL9L
TBL1Y
SFSWAP
CRTC1
MAGEA2B
KDM1B
KDM4A
CTNNBIP1
PHF21B
KCNIP3
SETD3
CHRAC1
PER2
RASD1
SMYD3
TRADD
ANKRA2
RBBP8
SETD1B
ELP4
RGCC
URI1
MBD3L1
SETD6
CREG1
MIER2
TOP1MT
SAP30L
BRMS1L
TOB2
TONSL
CITED4
PHF5A
PID1
ZMYM5
PCGF5
TCP10L
BCL10
PARP14
TESC
TAF1D
TAF1A
PPRC1
HIPK1
SS18L2
LMCD1
ASH1L
NRIP2
RITA1
PABPC1L
RALGAPA1
WWC1
PARP15
CDK5R1
PRMT7
NFE4
CRYM
RIPK3
CRTC2
RWDD3
N4BP2L2
SERTAD2
VGLL2
AUTS2
ANKAR
TRAK2
BRDT
DSCAM
SSX5
LPIN3
LOXL2
BDP1
KDM5D
TAF1L
TAF7L
TCERG1L
JMY
TCEAL5
KANK1
BAHCC1
TARBP1
TRAK1
ELANE
DGKQ
ARHGAP5
ELOC
HTATIP2
ANXA4
CTNND2
CAMK4
ARL2BP
SLC26A3
MAML2
BTN3A3
TBPL2
SFMBT1
UTF1
NLRP12
BTG1
CBX7
MBD3L2
NPM2
WBP2NL
DPPA2
FAM83G
SDR16C5
NFKBIZ
KDM8
